Airport Name,City name,Country name,Dep_Airport,Arr_Airport,lat,lng
Goroka Airport,Goroka,Papua New Guinea,GKA,GKA,-6.081689835,145.3919983
Madang Airport,Madang,Papua New Guinea,MAG,MAG,-5.207079887,145.7890015
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,HGU,-5.826789856,144.2960052
Nadzab Airport,Nadzab,Papua New Guinea,LAE,LAE,-6.569803,146.725977
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,POM,-9.443380356,147.2200012
Wewak International Airport,Wewak,Papua New Guinea,WWK,WWK,-3.583830118,143.6690063
Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,UAK,61.16049957,-45.42599869
Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,GOH,64.19090271,-51.67810059
Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,SFJ,67.0122219,-50.71160316
Thule Air Base,Thule,Greenland,THU,THU,76.53119659,-68.70320129
Akureyri Airport,Akureyri,Iceland,AEY,AEY,65.66000366,-18.0727005
EgilsstaÃ°ir Airport,Egilsstadir,Iceland,EGS,EGS,65.28330231,-14.40139961
HornafjÃ¶rÃ°ur Airport,Hofn,Iceland,HFN,HFN,64.295601,-15.2272
HÃºsavÃ­k Airport,Husavik,Iceland,HZK,HZK,65.952301,-17.426001
ÃsafjÃ¶rÃ°ur Airport,Isafjordur,Iceland,IFJ,IFJ,66.05809784,-23.13529968
Keflavik International Airport,Keflavik,Iceland,KEF,KEF,63.98500061,-22.60560036
PatreksfjÃ¶rÃ°ur Airport,Patreksfjordur,Iceland,PFJ,PFJ,65.555801,-23.965
Reykjavik Airport,Reykjavik,Iceland,RKV,RKV,64.12999725,-21.94059944
SiglufjÃ¶rÃ°ur Airport,Siglufjordur,Iceland,SIJ,SIJ,66.133301,-18.9167
Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,VEY,63.42430115,-20.27890015
Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,YAM,46.48500061,-84.50939941
Winnipeg / St. Andrews Airport,Winnipeg,Canada,\N,\N,50.0564003,-97.03250122
Halifax / CFB Shearwater Heliport,Halifax,Canada,\N,\N,44.639702,-63.499401
St. Anthony Airport,St. Anthony,Canada,YAY,YAY,51.39189911,-56.08309937
Tofino / Long Beach Airport,Tofino,Canada,YAZ,YAZ,49.079833,-125.775583
Kugaaruk Airport,Pelly Bay,Canada,YBB,YBB,68.534401,-89.808098
Baie Comeau Airport,Baie Comeau,Canada,YBC,YBC,49.13249969,-68.20439911
CFB Bagotville,Bagotville,Canada,YBG,YBG,48.33060074,-70.99639893
Baker Lake Airport,Baker Lake,Canada,YBK,YBK,64.29889679,-96.07779694
Campbell River Airport,Campbell River,Canada,YBL,YBL,49.95080185,-125.2710037
Brandon Municipal Airport,Brandon,Canada,YBR,YBR,49.91,-99.951897
Cambridge Bay Airport,Cambridge Bay,Canada,YCB,YCB,69.10810089,-105.1380005
Nanaimo Airport,Nanaimo,Canada,YCD,YCD,49.05497022,-123.8698626
Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,YCG,49.29639816,-117.6320038
Miramichi Airport,Chatham,Canada,YCH,YCH,47.007801,-65.449203
Charlo Airport,Charlo,Canada,YCL,YCL,47.990799,-66.330299
Kugluktuk Airport,Coppermine,Canada,YCO,YCO,67.816704,-115.143997
Coronation Airport,Coronation,Canada,YCT,YCT,52.07500076,-111.4449997
