,Dep_Airport,mean_arr_delay,Mkt_Ccode,Mkt_Fl_No,Arr_Airport_x,Date,Day_Week,Sched_Dep_Time_OAG,Gate_Dep_Time_Actual,Sched_Arr_Time_OAG,Gate_Arr_Time_Actual,Sched_Elapsed_Time_CRS,Actual_Gate_Gate_Time,Dep_Delay_Time_Actual,Arr_Delay_Time_Actual,Elapsed_Time_Diff_Actual,Wheels_Off_Time_Actual,Wheels_On_Time_Actual,Tail_Number,Cancel_Code,Mins_Late_Delay_Code_E_Carrier,Mins_Late_Delay_Code_F_Weather,Mins_Late_Delay_Code_G_NAS,Mins_Late_Delay_Code_H_Security,Mins_Late_Delay_Code_I_Late_Arr_Flight,First_Gate_Dep_Time,Total_Ground_Away_From_Gate,Longest_Ground_Time_Away_From_Gate,No_Landings_At_Div_Airport,month,Arr_Delay_Time_Actual_Flag,Sched_Dep_Time_OAG_Block,Airport Name_x,city_name,Country name_x,Arr_Airport_y,lat,lng,City name_y,Airport Code,Airport Name_y,country_name,Country Abbrev.,World Area Code,Arr_Airport
0,ABE,24.97530864197531,AA,4177.0,PHL,20180119,fri,620,610,707,646,47,36,-10,-21,-11,626,643,N412AW,,0,0,0,0,0,0,0,0,0,jan,0,morning,Lehigh Valley International Airport,Allentown,United States,ABE,40.65209961,-75.44080353,Allentown,ABE,Lehigh Valley International,United States,US,67,ABE
81,ABQ,-1.4428152492668622,WN,462.0,SAN,20180131,wed,1610,1712,1705,1752,115,100,62,47,-15,1724,1750,N408WN,,47,0,0,0,0,0,0,0,0,jan,1,late_afternoon,Albuquerque International Sunport,Albuquerque,United States,ABQ,35.040199,-106.609001,Albuquerque,ABQ,Albuquerque International,United States,US,67,ABQ
763,ABY,35.1025641025641,DL,3280.0,ATL,20180213,tue,1759,1750,1907,1913,68,83,-9,6,15,1823,1904,N8836A,,0,0,0,0,0,0,0,0,0,feb,1,late_afternoon,Southwest Georgia Regional Airport,Albany,United States,ABY,31.53549957,-84.19450378,Albany,ABY,Dougherty County,United States,US,67,ABY
841,ADK,16.285714285714285,AS,161.0,ANC,20180224,sat,1715,1731,2057,2118,162,167,16,21,5,1753,2112,N618AS,,0,16,5,0,0,0,0,0,0,feb,1,late_afternoon,Adak Airport,Adak Island,United States,ADK,51.87799835,-176.6459961,Adak Island,ADK,Adak Island NS,United States,US,67,ADK
848,ADQ,-5.428571428571429,AS,40.0,ANC,20180206,tue,1702,1640,1752,1727,50,47,-22,-25,-3,1644,1724,N607AS,,0,0,0,0,0,0,0,0,0,feb,0,late_afternoon,Kodiak Airport,Kodiak,United States,ADQ,57.75,-152.4940033,Kodiak,ADQ,Kodiak Airport,United States,US,67,ADQ
904,AEX,-1.632,DL,3286.0,ATL,20180203,sat,1427,1422,1710,1658,103,96,-5,-12,-7,1443,1651,N686BR,,0,0,0,0,0,0,0,0,0,feb,0,early_afternoon,Alexandria International Airport,Alexandria,United States,AEX,31.32740021,-92.54979706,Alexandria,AEX,Alexandria Internation,United States,US,67,AEX
1029,ALB,7.136363636363637,AA,4711.0,PHL,20180115,mon,1040,1042,1155,1158,75,76,2,3,1,1058,1153,N135HQ,,0,0,0,0,0,0,0,0,0,jan,1,late_morning,Albany International Airport,Albany,United States,ALB,42.74829865,-73.80169678,Albany,ALB,Albany International,United States,US,67,ALB
1381,AMA,-2.8346456692913384,AA,5835.0,DFW,20180104,thu,800,0,917,0,77,0,0,0,0,0,0,N911FJ,A,0,0,0,0,0,0,0,0,0,jan,0,morning,Rick Husband Amarillo International Airport,Amarillo,United States,AMA,35.219398,-101.706001,Amarillo,AMA,International,United States,US,67,AMA
1508,ANC,-8.395101171458998,AS,41.0,BET,20180223,fri,600,549,724,719,84,90,-11,-5,6,608,715,N644AS,,0,0,0,0,0,0,0,0,0,feb,0,morning,Ted Stevens Anchorage International Airport,Anchorage,United States,ANC,61.17440033,-149.9960022,Anchorage,ANC,Ted Stevens Anchorage Int'l,United States,US,67,ANC
2447,ATL,0.9140948871487794,AA,2472.0,CLT,20180223,fri,1219,1227,1345,1352,86,85,8,7,-1,1250,1336,N851NN,,0,0,0,0,0,0,0,0,0,feb,1,early_afternoon,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,33.6367,-84.428101,Atlanta,ATL,Hartsfield-Jackson Atlanta Int,United States,US,67,ATL
